chrom	length	bases	mean	min	max
chr1	195154279	7009786528	35.92	0	10137459
chr1_region	195154279	7009786528	35.92	0	10137459
chr2	181755017	6050499220	33.29	0	103682
chr2_region	181755017	6050499220	33.29	0	103682
chr3	159745316	5106129928	31.96	0	56228
chr3_region	159745316	5106129928	31.96	0	56228
chr4	156860686	5121801057	32.65	0	12318
chr4_region	156860686	5121801057	32.65	0	12318
chr5	151758149	4958027285	32.67	0	247573
chr5_region	151758149	4958027285	32.67	0	247573
chr6	149588044	4866775725	32.53	0	103755
chr6_region	149588044	4866775725	32.53	0	103755
chr7	144995196	4916022529	33.90	0	3074847
chr7_region	144995196	4916022529	33.90	0	3074847
chr8	130127694	4315500353	33.16	0	147572
chr8_region	130127694	4315500353	33.16	0	147572
chr9	124359700	4300154121	34.58	0	173325
chr9_region	124359700	4300154121	34.58	0	173325
chr10	130530862	4186590608	32.07	0	262619
chr10_region	130530862	4186590608	32.07	0	262619
chr11	121973369	4052733420	33.23	0	175395
chr11_region	121973369	4052733420	33.23	0	175395
chr12	120092757	3957970959	32.96	0	57980
chr12_region	120092757	3957970959	32.96	0	57980
chr13	120883175	3970540876	32.85	0	135541
chr13_region	120883175	3970540876	32.85	0	135541
chr14	125139656	4064621221	32.48	0	264356
chr14_region	125139656	4064621221	32.48	0	264356
chr15	104073951	3365691656	32.34	0	46538
chr15_region	104073951	3365691656	32.34	0	46538
chr16	98008968	3116849309	31.80	0	183196
chr16_region	98008968	3116849309	31.80	0	183196
chr17	95294699	3142855472	32.98	0	205212
chr17_region	95294699	3142855472	32.98	0	205212
chr18	90720763	2912494381	32.10	0	76180
chr18_region	90720763	2912494381	32.10	0	76180
chr19	61420004	1949196700	31.74	0	7075
chr19_region	61420004	1949196700	31.74	0	7075
chrX	169476592	5152286459	30.40	0	231826
chrX_region	169476592	5152286459	30.40	0	231826
chrY	91455967	60381326	0.66	0	973
chrY_region	91455967	60381326	0.66	0	973
chrM	16299	151846093	9316.28	18	13376
chrM_region	16299	151846093	9316.28	18	13376
GL456210.1	169725	13103854	77.21	0	939
GL456210.1_region	169725	13103854	77.21	0	939
GL456211.1	241735	19675197	81.39	0	419
GL456211.1_region	241735	19675197	81.39	0	419
GL456212.1	153618	16576046	107.90	0	380
GL456212.1_region	153618	16576046	107.90	0	380
GL456219.1	175968	2995652	17.02	0	118
GL456219.1_region	175968	2995652	17.02	0	118
GL456221.1	206961	17924565	86.61	0	506
GL456221.1_region	206961	17924565	86.61	0	506
GL456233.2	559103	13690298	24.49	0	2487
GL456233.2_region	559103	13690298	24.49	0	2487
GL456239.1	40056	1922035	47.98	0	708
GL456239.1_region	40056	1922035	47.98	0	708
GL456354.1	195993	4753045	24.25	0	160
GL456354.1_region	195993	4753045	24.25	0	160
GL456359.1	22974	298091	12.98	0	49
GL456359.1_region	22974	298091	12.98	0	49
GL456360.1	31704	406659	12.83	0	37
GL456360.1_region	31704	406659	12.83	0	37
GL456366.1	47073	559622	11.89	0	71
GL456366.1_region	47073	559622	11.89	0	71
GL456367.1	42057	1638662	38.96	0	567
GL456367.1_region	42057	1638662	38.96	0	567
GL456368.1	20208	754741	37.35	0	112
GL456368.1_region	20208	754741	37.35	0	112
GL456370.1	26764	1003791	37.51	0	4508
GL456370.1_region	26764	1003791	37.51	0	4508
GL456372.1	28664	1533156	53.49	0	336
GL456372.1_region	28664	1533156	53.49	0	336
GL456378.1	31602	1407734	44.55	0	286
GL456378.1_region	31602	1407734	44.55	0	286
GL456379.1	72385	966389	13.35	0	52
GL456379.1_region	72385	966389	13.35	0	52
GL456381.1	25871	2309641	89.28	0	769
GL456381.1_region	25871	2309641	89.28	0	769
GL456382.1	23158	504423	21.78	0	87
GL456382.1_region	23158	504423	21.78	0	87
