chrom	length	bases	mean	min	max
chr1	195154279	3629242503	18.60	0	40044
chr1_region	195154279	3629242503	18.60	0	40044
chr2	181755017	3470773607	19.10	0	54086
chr2_region	181755017	3470773607	19.10	0	54086
chr3	159745316	2905384917	18.19	0	2599
chr3_region	159745316	2905384917	18.19	0	2599
chr4	156860686	2750858957	17.54	0	2284
chr4_region	156860686	2750858957	17.54	0	2284
chr5	151758149	2872156199	18.93	0	2124
chr5_region	151758149	2872156199	18.93	0	2124
chr6	149588044	2766151664	18.49	0	25141
chr6_region	149588044	2766151664	18.49	0	25141
chr7	144995196	2664853578	18.38	0	1419
chr7_region	144995196	2664853578	18.38	0	1419
chr8	130127694	2443184558	18.78	0	1112
chr8_region	130127694	2443184558	18.78	0	1112
chr9	124359700	2439930153	19.62	0	25927
chr9_region	124359700	2439930153	19.62	0	25927
chr10	130530862	2428654285	18.61	0	1184
chr10_region	130530862	2428654285	18.61	0	1184
chr11	121973369	2464751016	20.21	0	2745
chr11_region	121973369	2464751016	20.21	0	2745
chr12	120092757	2308848561	19.23	0	11282
chr12_region	120092757	2308848561	19.23	0	11282
chr13	120883175	2225197623	18.41	0	3048
chr13_region	120883175	2225197623	18.41	0	3048
chr14	125139656	2185377663	17.46	0	9382
chr14_region	125139656	2185377663	17.46	0	9382
chr15	104073951	1944617929	18.68	0	3881
chr15_region	104073951	1944617929	18.68	0	3881
chr16	98008968	1789714177	18.26	0	4540
chr16_region	98008968	1789714177	18.26	0	4540
chr17	95294699	1814005168	19.04	0	8260
chr17_region	95294699	1814005168	19.04	0	8260
chr18	90720763	1673000043	18.44	0	2061
chr18_region	90720763	1673000043	18.44	0	2061
chr19	61420004	1161277839	18.91	0	2452
chr19_region	61420004	1161277839	18.91	0	2452
chrX	169476592	2658472535	15.69	0	6752
chrX_region	169476592	2658472535	15.69	0	6752
chrY	91455967	4078067	0.04	0	818
chrY_region	91455967	4078067	0.04	0	818
chrM	16299	82888045	5085.47	0	9304
chrM_region	16299	82888045	5085.47	0	9304
GL456210.1	169725	2969011	17.49	0	374
GL456210.1_region	169725	2969011	17.49	0	374
GL456211.1	241735	4592552	19.00	0	254
GL456211.1_region	241735	4592552	19.00	0	254
GL456212.1	153618	3557436	23.16	0	222
GL456212.1_region	153618	3557436	23.16	0	222
GL456219.1	175968	2293	0.01	0	14
GL456219.1_region	175968	2293	0.01	0	14
GL456221.1	206961	3189869	15.41	0	207
GL456221.1_region	206961	3189869	15.41	0	207
GL456233.2	559103	7420857	13.27	0	1178
GL456233.2_region	559103	7420857	13.27	0	1178
GL456239.1	40056	616609	15.39	0	195
GL456239.1_region	40056	616609	15.39	0	195
GL456354.1	195993	25654	0.13	0	39
GL456354.1_region	195993	25654	0.13	0	39
GL456359.1	22974	0	0.00	0	0
GL456359.1_region	22974	0	0.00	0	0
GL456360.1	31704	142	0.00	0	3
GL456360.1_region	31704	142	0.00	0	3
GL456366.1	47073	0	0.00	0	0
GL456366.1_region	47073	0	0.00	0	0
GL456367.1	42057	1041145	24.76	0	473
GL456367.1_region	42057	1041145	24.76	0	473
GL456368.1	20208	865175	42.81	0	137
GL456368.1_region	20208	865175	42.81	0	137
GL456370.1	26764	530835	19.83	0	928
GL456370.1_region	26764	530835	19.83	0	928
GL456372.1	28664	460734	16.07	0	103
GL456372.1_region	28664	460734	16.07	0	103
GL456378.1	31602	1084802	34.33	0	307
GL456378.1_region	31602	1084802	34.33	0	307
