gene_id,gene_name,8h_1,8h_2,8h_3,Control_1,Control_2,Control_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000004864,SLC25A13,1073,1005,891,8388,10870,7689,4029.832195857806,-3.137639581813122,0.07947852254304659,0,0,Down
ENSG00000005108,THSD7A,1490,1344,1195,15574,16898,13667,6942.522873230042,-3.482576298789513,0.09050866637379575,0,0,Down
ENSG00000008083,JARID2,4581,4288,3659,32002,42399,33699,17114.251453404722,-3.0700611209144384,0.06257134131814876,0,0,Down
ENSG00000030582,GRN,9189,8715,7801,368,577,380,4360.857420190935,4.318316495405123,0.09838501750236016,0,0,Up
ENSG00000033800,PIAS1,1896,1844,1601,9486,11566,9859,5076.637298108832,-2.496691233920606,0.06193953928694236,0,0,Down
ENSG00000038382,TRIO,873,824,714,7119,8144,6517,3305.0043099604663,-3.138993430514478,0.07554577995600495,0,0,Down
ENSG00000048052,HDAC9,655,554,568,29768,33431,28052,13049.536244350398,-5.648349231091007,0.07167970578834115,0,0,Down
ENSG00000048740,CELF2,6145,5669,5200,21143,27001,20876,11964.540636400427,-1.9812884352277236,0.04109686393052314,0,0,Down
ENSG00000049618,ARID1B,3421,2957,2656,23096,28724,23551,11628.392633130445,-3.0262734975133396,0.04899912691420233,0,0,Down
ENSG00000050767,COL23A1,361,319,289,8637,12526,8626,4473.408206990906,-4.893088673704366,0.1029157010030847,0,0,Down
ENSG00000051523,CYBA,12670,11603,10821,359,422,422,5885.0572165727335,4.893113790677425,0.09441268851612661,0,0,Up
ENSG00000054611,TBC1D22A,1135,1011,921,11228,15027,12573,6161.662270444363,-3.6229755375496198,0.06952089391109749,0,0,Down
ENSG00000055070,SZRD1,5158,4762,4232,413,534,433,2431.0815615623856,3.389204110990594,0.08200331082493982,0,0,Up
ENSG00000055609,KMT2C,2172,2067,1850,16332,21221,17902,8481.841945438755,-3.14815359281062,0.05993464085858081,0,0,Down
ENSG00000058262,SEC61A1,9584,8700,8209,1094,1398,1223,4505.291663287505,2.8667259276006254,0.06739990927937634,0,0,Up
ENSG00000065833,ME1,282,247,254,3350,4000,3710,1634.1909829945412,-3.782273931434351,0.09343359209361843,0,0,Down
ENSG00000066651,TRMT11,530,492,503,14711,18931,17220,7412.314500061578,-5.020182877823778,0.07800450667957805,0,0,Down
ENSG00000067208,EVI5,303,319,248,5120,6244,4705,2320.2421998713667,-4.1646342275852515,0.09820956052030341,0,0,Down
ENSG00000068383,INPP5A,1435,1385,1316,8288,11336,9154,4850.404140502376,-2.753878495309937,0.07053761787526636,0,0,Down
ENSG00000074054,CLASP1,1468,1373,1386,9004,10928,9911,4831.685714330582,-2.780917706602462,0.06939409995925803,0,0,Down
ENSG00000075151,EIF4G3,3276,2992,2695,17758,21339,19325,9678.64473838159,-2.6720915080098946,0.046698429977122445,0,0,Down
ENSG00000075420,FNDC3B,868,788,767,14722,18075,14512,7080.570730904362,-4.24849393986219,0.05672663790724975,0,0,Down
ENSG00000075711,DLG1,1603,1386,1339,8930,10365,9235,4566.277982473519,-2.6877705981089295,0.05893984789676752,0,0,Down
ENSG00000075884,ARHGAP15,1021,982,911,11762,13895,11881,5518.654891117959,-3.6487414633027524,0.07723414985787637,0,0,Down
ENSG00000077157,PPP1R12B,831,799,693,8103,11072,10032,4594.160296579354,-3.612099899997634,0.0868454824985485,0,0,Down
ENSG00000078403,MLLT10,1638,1504,1340,13197,17610,12791,6961.398092911469,-3.239281722771126,0.06272512353143767,0,0,Down
ENSG00000080802,CNOT4,541,510,462,6140,7617,6443,2978.756950581502,-3.699794262508461,0.07964155243038666,0,0,Down
ENSG00000082269,FAM135A,557,494,441,5129,6495,5646,2563.607187044093,-3.4958545762078574,0.08149390342005461,0,0,Down
ENSG00000082805,ERC1,1276,1192,1032,9017,11199,10145,4873.4262474152565,-3.082506589384139,0.06517914328374362,0,0,Down
ENSG00000083535,PIBF1,643,538,532,9359,11600,9294,4470.158241330314,-4.1048190409465475,0.05838686445241209,0,0,Down
ENSG00000083544,TDRD3,651,625,595,5074,5550,5355,2438.3861295209404,-3.0608591901783746,0.07713147184555105,0,0,Down
ENSG00000083845,RPS5,41623,37356,34857,3419,3928,3033,19218.21048229849,3.4850481883076063,0.08381940631700095,0,0,Up
ENSG00000087495,PHACTR3,2150,2008,1799,10220,13342,10110,5833.395441820079,-2.4577900070586916,0.06061164939422786,0,0,Down
ENSG00000089123,TASP1,314,248,254,7032,8886,8175,3564.2324469725545,-4.847881267720445,0.09519721498499986,0,0,Down
ENSG00000092978,GPATCH2,523,441,456,6800,8598,8249,3639.091666141156,-4.019862238525433,0.09300660874807136,0,0,Down
ENSG00000100154,TTC28,602,562,507,18330,22538,17721,8234.288187579466,-5.093115780402649,0.07343931757462856,0,0,Down
ENSG00000100629,CEP128,525,446,445,6748,7744,6217,3109.4724479938263,-3.83149993652195,0.09160876543405773,0,0,Down
ENSG00000101901,ALG13,845,744,699,5431,7477,5810,2937.7295041914294,-2.9897040213351853,0.06989396120093229,0,0,Down
ENSG00000102531,FNDC3A,1535,1456,1334,12521,15764,12798,6295.421981555555,-3.20916344545144,0.048714812062260214,0,0,Down
ENSG00000102595,UGGT2,365,335,361,11133,14528,11517,5249.837544094154,-5.084582847331455,0.09639192644273693,0,0,Down
ENSG00000102763,VWA8,1371,1413,1102,14857,17832,16607,7489.871486278803,-3.632120945932465,0.07117928091848733,0,0,Down
ENSG00000104043,ATP8B4,4290,3734,3682,46286,54837,53903,23876.699682084294,-3.6931202164820034,0.08323807369932044,0,0,Down
ENSG00000104375,STK3,417,404,362,8850,10325,9440,4130.653568062669,-4.5612127880299225,0.08185842574024396,0,0,Down
ENSG00000104490,NCALD,869,791,707,14897,19601,16752,7437.256238651149,-4.39839506086466,0.07034545387051253,0,0,Down
ENSG00000105193,RPS16,67723,59847,55570,6525,6960,5675,32325.59881758281,3.2833523276125036,0.07142261279634467,0,0,Up
ENSG00000105372,RPS19,57089,52007,47631,3381,3920,3152,26956.48153303702,3.934591677511691,0.09238740410696508,0,0,Up
ENSG00000105373,NOP53,21781,20608,18163,1368,1665,1417,10453.543916366401,3.796464595316857,0.07498569431205775,0,0,Up
ENSG00000105669,COPE,7308,6691,6297,198,226,229,3165.329234282143,4.985397074548365,0.0961702777283995,0,0,Up
ENSG00000106443,PHF14,1723,1580,1425,8810,11282,9586,4913.23616670938,-2.6134966051991326,0.053314817781996385,0,0,Down
ENSG00000106554,CHCHD3,1916,1814,1598,9936,12754,10647,5438.981963853664,-2.6075153991496247,0.06090892410992128,0,0,Down
ENSG00000106682,EIF4H,14829,13518,12246,2414,2759,2508,7327.942475744813,2.430437401461846,0.05298350797931352,0,0,Up
ENSG00000110328,GALNT18,398,322,305,5752,7484,5715,2719.5135244387966,-4.166341577158679,0.10089662246403765,0,0,Down
ENSG00000111642,CHD4,9487,8635,8035,36,22,15,3597.7687761107463,8.512504583036634,0.17829088877139634,0,0,Up
ENSG00000111880,RNGTT,1911,1625,1596,12394,15914,14114,6923.5298850789295,-3.009850121550312,0.07445893971041088,0,0,Down
ENSG00000112242,E2F3,1715,1590,1429,9655,13005,9257,5184.351864800892,-2.708728272866122,0.06902095920671518,0,0,Down
ENSG00000112320,SOBP,908,840,666,7166,9156,7599,3789.730021467606,-3.273326638760033,0.0700666662567632,0,0,Down
ENSG00000112419,PHACTR2,905,822,740,9713,12142,9605,4512.312508199558,-3.6344875916157338,0.059241182550283385,0,0,Down
ENSG00000112699,GMDS,777,683,607,15676,19274,15093,7170.035363435275,-4.560993568761355,0.05627924898356083,0,0,Down
ENSG00000113273,ARSB,1162,1136,923,8344,10597,8743,4366.862241149069,-3.0661862440561047,0.06717564713505923,0,0,Down
ENSG00000113391,FAM172A,651,612,550,12755,15049,14368,6141.412139883034,-4.507056267333127,0.07217313399133778,0,0,Down
ENSG00000113448,PDE4D,200,213,175,3757,4905,3921,1798.9466446094832,-4.374665090019228,0.10438715999967949,0,0,Down
ENSG00000115464,USP34,2876,2657,2481,11786,13540,11972,6269.041829508521,-2.1855250106925848,0.04468222374134117,0,0,Down
ENSG00000115760,BIRC6,2694,2421,2228,14011,15691,14635,7429.210353357154,-2.564108494859387,0.053972072460987466,0,0,Down
ENSG00000115904,SOS1,1088,1033,993,5980,6982,6089,2975.22186627425,-2.576267602821747,0.06442737914013595,0,0,Down
ENSG00000115970,THADA,1486,1383,1318,10548,13057,11280,5525.205920174477,-3.0216153623637805,0.050088932149724215,0,0,Down
ENSG00000116539,ASH1L,1829,1712,1530,14362,20003,16350,7822.116724920617,-3.279566773465155,0.07380916681061814,0,0,Down
ENSG00000117020,AKT3,2289,2071,1867,17048,20856,15688,7975.235463766926,-3.065427165882746,0.07794541877604805,0,0,Down
ENSG00000117523,PRRC2C,7707,7184,6536,24776,29055,24451,14427.372818617821,-1.8352426645665032,0.038310370707742646,0,0,Down
ENSG00000117569,PTBP2,439,377,372,7501,9067,7564,3464.921884099752,-4.304894568975885,0.09468044887833782,0,0,Down
ENSG00000118420,UBE3D,198,153,148,7013,8275,5907,2959.3471010062626,-5.368063283125049,0.13061443624253816,0,0,Down
ENSG00000118961,LDAH,897,852,786,4925,5797,5004,2624.4226765627864,-2.5973138228508827,0.061418650815014963,0,0,Down
ENSG00000119042,SATB2,2620,2345,2089,19385,24030,18703,9671.414046316271,-3.10121163394345,0.060288478919142185,0,0,Down
ENSG00000119509,INVS,626,559,531,8551,10666,9111,4350.734618355351,-4.005122754978509,0.0925509943866149,0,0,Down
ENSG00000119522,DENND1A,600,527,487,7591,9788,7691,3792.5261781144713,-3.917605627809497,0.06557441568554911,0,0,Down
ENSG00000120029,ARMH3,1326,1084,1063,7140,9138,8358,3982.8581984012353,-2.7918460244756518,0.07197116587830016,0,0,Down
ENSG00000120071,KANSL1,1212,1164,1012,7705,9756,8392,4005.594773917604,-2.894759920257644,0.06307543451621946,0,0,Down
ENSG00000120254,MTHFD1L,4116,3624,3484,24522,28428,26257,13165.33237535132,-2.7872016086288123,0.050629425126362086,0,0,Down
ENSG00000120519,SLC10A7,292,249,235,5136,6202,6141,2568.854221364857,-4.459503132697713,0.10114329488796941,0,0,Down
ENSG00000120594,PLXDC2,1705,1646,1492,18023,20289,20174,8910.927439427443,-3.5619778567455302,0.07389054147337708,0,0,Down
ENSG00000121988,ZRANB3,313,295,220,6374,7806,6680,3024.728157097831,-4.618916252952963,0.11358421032524371,0,0,Down
ENSG00000123066,MED13L,6589,6158,5608,40925,46885,44377,21282.683501273517,-2.8166410136058895,0.05990567954691742,0,0,Down
ENSG00000123106,CCDC91,695,680,560,11098,13248,12221,5396.371499487568,-4.2069474681772965,0.07214172432211806,0,0,Down
ENSG00000123552,USP45,370,348,351,6082,6514,6398,2828.183494813721,-4.11533391204645,0.10282016669016796,0,0,Down
ENSG00000123636,BAZ2B,1155,1086,996,13916,17502,13567,6853.9036866975,-3.7557678651382,0.06539318701554804,0,0,Down
ENSG00000124782,RREB1,4541,4332,3970,23396,31589,23912,12741.599559598313,-2.5750199955872453,0.059677984610466715,0,0,Down
ENSG00000125246,CLYBL,254,225,231,5261,7254,5727,2772.9821497164626,-4.635771010947721,0.10638437206682441,0,0,Down
ENSG00000126267,COX6B1,8032,7506,6670,763,1111,896,3866.768498894892,3.038738416186113,0.07503880874568841,0,0,Up
ENSG00000128973,CLN6,3064,2807,2557,43,59,29,1382.480928167308,6.0388853347070475,0.15212271479560638,0,0,Up
ENSG00000129824,RPS4Y1,13132,12029,11395,1911,2454,2093,6655.059530876918,2.535654564002276,0.05753931381627609,0,0,Up
ENSG00000130811,EIF3G,8317,7546,6929,1010,1151,1019,4194.199297484498,2.8707359378718573,0.05928482222635284,0,0,Up
ENSG00000131374,TBC1D5,2802,2691,2394,62275,76332,70143,30186.094075409084,-4.692088346199149,0.05417903600263947,0,0,Down
ENSG00000132466,ANKRD17,3674,3519,3087,21551,28818,22290,11364.1190067907,-2.7800725809284037,0.05300853390004072,0,0,Down
ENSG00000132507,EIF5A,13952,12330,11273,926,1178,908,7624.995992052158,3.672475197638748,0.07236199797882732,0,0,Up
ENSG00000132549,VPS13B,1156,1054,966,28186,34007,32212,13804.681211005405,-4.860973308398466,0.06778148972270386,0,0,Down
ENSG00000132842,AP3B1,3491,3137,2911,12756,14304,13286,6945.143561349221,-2.0504874434120226,0.051462711344040124,0,0,Down
ENSG00000132964,CDK8,975,913,778,6903,7825,6528,3325.9008081639245,-2.961710459762864,0.06513826322288785,0,0,Down
ENSG00000134138,MEIS2,1618,1519,1411,15682,20114,17270,8053.95691626361,-3.505358496137777,0.06453979005192817,0,0,Down
ENSG00000134146,DPH6,314,302,274,6709,7839,7298,3108.1371027173886,-4.582264360846688,0.08790109270796302,0,0,Down
ENSG00000134769,DTNA,996,911,921,24136,30360,22170,10751.843872449594,-4.715546456051035,0.07750968689969252,0,0,Down
ENSG00000134882,UBAC2,3657,3358,2946,16233,21048,17417,9125.867167722346,-2.4205202557555046,0.05176531658053477,0,0,Down
ENSG00000135090,TAOK3,5017,4605,4108,18882,24020,19108,10718.048858136275,-2.138211342714057,0.039117935110557736,0,0,Down
ENSG00000135870,RC3H1,1182,1157,1027,9340,12373,10554,5086.186406211713,-3.2190600315926723,0.08265536473558482,0,0,Down
ENSG00000136141,LRCH1,935,904,806,6714,8433,6783,3421.888770735254,-3.0111018237825564,0.07311071418945839,0,0,Down
ENSG00000136643,RPS6KC1,535,487,480,4465,4804,4538,2262.640687678972,-3.1676051011247717,0.0768411421713264,0,0,Down
ENSG00000136770,DNAJC1,1885,1722,1574,11404,14182,12465,5868.832616642606,-2.840784750682741,0.06384443700755267,0,0,Down
ENSG00000137478,FCHSD2,1373,1288,1197,9515,11903,10325,4998.196001002875,-3.0019502341858018,0.07178762690010813,0,0,Down
ENSG00000137818,RPLP1,80386,72478,69393,4194,4377,4539,37176.25455945389,4.104485254754918,0.08441272187210289,0,0,Up
ENSG00000138190,EXOC6,901,772,717,5892,7587,6027,2958.965451532215,-2.9904464695575093,0.06427221354845482,0,0,Down
ENSG00000138814,PPP3CA,3015,2804,2473,14725,17096,15821,7976.046084986552,-2.491392145967219,0.05526646817388791,0,0,Down
ENSG00000139083,ETV6,2346,2294,2059,28339,38376,29397,14479.741229158537,-3.7986183284321577,0.060238726904898815,0,0,Down
ENSG00000139173,TMEM117,367,257,256,12804,15457,14999,6367.876371595873,-5.591159241469693,0.11360142046130911,0,0,Down
ENSG00000140262,TCF12,2790,2740,2365,18296,19647,19772,9447.384287400311,-2.8410537568643996,0.07056605540434804,0,0,Down
ENSG00000140386,SCAPER,610,547,484,6811,8537,6661,3283.199745530952,-3.706624123269822,0.07014018683384879,0,0,Down
ENSG00000140718,FTO,773,695,656,8653,9104,8041,3912.6243078047464,-3.570078473535479,0.07689757580424926,0,0,Down
ENSG00000140988,RPS2,148006,136241,124504,14067,13284,12658,67383.56991266421,3.3714056088923123,0.08388286675293678,0,0,Up
ENSG00000141298,SSH2,1793,1564,1468,8646,10437,9492,4772.513980959846,-2.533377813714852,0.057299722088877326,0,0,Down
