chrom	length	bases	mean	min	max
chr1	195154279	4253901896	21.80	0	6758631
chr1_region	195154279	4253901896	21.80	0	6758631
chr2	181755017	3699203325	20.35	0	111094
chr2_region	181755017	3699203325	20.35	0	111094
chr3	159745316	3091219504	19.35	0	18296
chr3_region	159745316	3091219504	19.35	0	18296
chr4	156860686	2981279042	19.01	0	4381
chr4_region	156860686	2981279042	19.01	0	4381
chr5	151758149	3035687031	20.00	0	68924
chr5_region	151758149	3035687031	20.00	0	68924
chr6	149588044	2922615547	19.54	0	40367
chr6_region	149588044	2922615547	19.54	0	40367
chr7	144995196	2995835900	20.66	0	1915860
chr7_region	144995196	2995835900	20.66	0	1915860
chr8	130127694	2600806283	19.99	0	49777
chr8_region	130127694	2600806283	19.99	0	49777
chr9	124359700	2703608185	21.74	0	69981
chr9_region	124359700	2703608185	21.74	0	69981
chr10	130530862	2544706918	19.50	0	82223
chr10_region	130530862	2544706918	19.50	0	82223
chr11	121973369	2547087591	20.88	0	48866
chr11_region	121973369	2547087591	20.88	0	48866
chr12	120092757	2472043416	20.58	0	53566
chr12_region	120092757	2472043416	20.58	0	53566
chr13	120883175	2364526031	19.56	0	25553
chr13_region	120883175	2364526031	19.56	0	25553
chr14	125139656	2424388969	19.37	0	68149
chr14_region	125139656	2424388969	19.37	0	68149
chr15	104073951	2027891199	19.49	0	15908
chr15_region	104073951	2027891199	19.49	0	15908
chr16	98008968	1874594916	19.13	0	112944
chr16_region	98008968	1874594916	19.13	0	112944
chr17	95294699	1925519075	20.21	0	62167
chr17_region	95294699	1925519075	20.21	0	62167
chr18	90720763	1741001457	19.19	0	23496
chr18_region	90720763	1741001457	19.19	0	23496
chr19	61420004	1202038317	19.57	0	5412
chr19_region	61420004	1202038317	19.57	0	5412
chrX	169476592	3143469900	18.55	0	69866
chrX_region	169476592	3143469900	18.55	0	69866
chrY	91455967	39867754	0.44	0	1397
chrY_region	91455967	39867754	0.44	0	1397
chrM	16299	101671793	6237.92	2850	9306
chrM_region	16299	101671793	6237.92	2850	9306
GL456210.1	169725	7361483	43.37	0	713
GL456210.1_region	169725	7361483	43.37	0	713
GL456211.1	241735	11269173	46.62	0	258
GL456211.1_region	241735	11269173	46.62	0	258
GL456212.1	153618	9431995	61.40	0	247
GL456212.1_region	153618	9431995	61.40	0	247
GL456219.1	175968	1808615	10.28	0	60
GL456219.1_region	175968	1808615	10.28	0	60
GL456221.1	206961	10322551	49.88	0	273
GL456221.1_region	206961	10322551	49.88	0	273
GL456233.2	559103	9390746	16.80	0	2643
GL456233.2_region	559103	9390746	16.80	0	2643
GL456239.1	40056	813937	20.32	0	670
GL456239.1_region	40056	813937	20.32	0	670
GL456354.1	195993	1858145	9.48	0	121
GL456354.1_region	195993	1858145	9.48	0	121
GL456359.1	22974	235908	10.27	0	44
GL456359.1_region	22974	235908	10.27	0	44
GL456360.1	31704	305274	9.63	0	30
GL456360.1_region	31704	305274	9.63	0	30
GL456366.1	47073	395749	8.41	0	37
GL456366.1_region	47073	395749	8.41	0	37
GL456367.1	42057	1242047	29.53	0	539
GL456367.1_region	42057	1242047	29.53	0	539
GL456368.1	20208	989747	48.98	0	165
GL456368.1_region	20208	989747	48.98	0	165
GL456370.1	26764	1084377	40.52	0	4168
GL456370.1_region	26764	1084377	40.52	0	4168
GL456372.1	28664	859830	30.00	0	190
GL456372.1_region	28664	859830	30.00	0	190
GL456378.1	31602	1344725	42.55	0	312
GL456378.1_region	31602	1344725	42.55	0	312
GL456379.1	72385	585929	8.09	0	38
GL456379.1_region	72385	585929	8.09	0	38
GL456381.1	25871	1671510	64.61	0	624
GL456381.1_region	25871	1671510	64.61	0	624
GL456382.1	23158	309475	13.36	0	47
GL456382.1_region	23158	309475	13.36	0	47
GL456383.1	38659	3816554	98.72	0	3325
GL456383.1_region	38659	3816554	98.72	0	3325
GL456385.1	35240	642336	18.23	0	76
GL456385.1_region	35240	642336	18.23	0	76
GL456387.1	24685	2485971	100.71	0	669
GL456387.1_region	24685	2485971	100.71	0	669
GL456389.1	28772	2184227	75.92	0	4968
GL456389.1_region	28772	2184227	75.92	0	4968
GL456390.1	24668	5236707	212.29	0	5151
GL456390.1_region	24668	5236707	212.29	0	5151
GL456392.1	23629	5026167	212.71	0	9570
GL456392.1_region	23629	5026167	212.71	0	9570
GL456394.1	24323	975328	40.10	0	518
GL456394.1_region	24323	975328	40.10	0	518
GL456396.1	21240	4449093	209.47	0	3139
GL456396.1_region	21240	4449093	209.47	0	3139
JH584295.1	1976	41024	20.76	0	43
JH584295.1_region	1976	41024	20.76	0	43
JH584296.1	199368	1654737	8.30	0	61
JH584296.1_region	199368	1654737	8.30	0	61
JH584297.1	205776	1905475	9.26	0	57
JH584297.1_region	205776	1905475	9.26	0	57
JH584298.1	184189	1766044	9.59	0	54
JH584298.1_region	184189	1766044	9.59	0	54
JH584299.1	953012	10191944	10.69	0	172
JH584299.1_region	953012	10191944	10.69	0	172
JH584300.1	182347	7384	0.04	0	81
JH584300.1_region	182347	7384	0.04	0	81
JH584301.1	259875	23503	0.09	0	25
JH584301.1_region	259875	23503	0.09	0	25
JH584302.1	155838	6074	0.04	0	13
JH584302.1_region	155838	6074	0.04	0	13
JH584303.1	158099	69278	0.44	0	31
JH584303.1_region	158099	69278	0.44	0	31
JH584304.1	114452	165093175	1442.47	0	23972
JH584304.1_region	114452	165093175	1442.47	0	23972
MU069434.1	8412	232148	27.60	0	58
MU069434.1_region	8412	232148	27.60	0	58
MU069435.1	31129	41795212	1342.65	0	4361
MU069435.1_region	31129	41795212	1342.65	0	4361
total	2728222451	53001847646	19.43	0	6758631
total_region	2728222451	53001847646	19.43	0	6758631
