gene_id	gene_name	A5BKO_1	A5BKO_2	A5BKO_3	Mix_1	Mix_2	Mix_3	NT_1	NT_2	NT_3
ENSG00000000003.16	TSPAN6	0	0	0	0	0	0	0	0	0
ENSG00000000005.6	TNMD	0	0	0	0	0	0	0	0	0
ENSG00000000419.14	DPM1	939	1245	1009	962	792	863	888.001	888	899
ENSG00000000457.14	SCYL3	231	290	210	395	306.999	327.001	207	240.999	205
ENSG00000000460.17	FIRRM	744	954.999	675	836.001	665	744.001	715.001	706.999	741.001
ENSG00000000938.13	FGR	0	2	1	7	7	7	1	2	1
ENSG00000000971.17	CFH	3	3	0	0	1	0	0	1	2
ENSG00000001036.14	FUCA2	0	0	0	0	0	0	0	0	0
ENSG00000001084.13	GCLC	1413.001	1913	1429	1311	1049.999	1154.002	1374.999	1360	1419
ENSG00000001167.15	NFYA	1934	2515	1798.985	2005	1542	1588	1682	1785	1916.975
ENSG00000001460.18	STPG1	5	3	2	2	1	1	3	1	3
ENSG00000001461.17	NIPAL3	432	638.001	445.999	959.001	793	841	440	443	471
ENSG00000001497.18	LAS1L	2586.001	3587.001	2458	2073.001	1716	1779	2454.001	2435	2602.999
ENSG00000001561.7	ENPP4	307	368	314	439	284	334	261	289	256
ENSG00000001617.12	SEMA3F	143	72	126	145	116.999	120	30	48	36
ENSG00000001626.18	CFTR	0	0	0	13	12	12	0	0	0
ENSG00000001629.10	ANKIB1	1067	1528	955	1070.001	836	829	1101	1075	1177
ENSG00000001630.18	CYP51A1	1502.009	2204.137	1362.547	1082.07	915.354	993.695	1557.837	1577.118	1604.882
ENSG00000001631.17	KRIT1	922.303	1080.08	883.524	1141.494	868.183	873.519	671.846	785.844	913.106
ENSG00000002016.18	RAD52	394	441.002	403	532.252	392	429.291	329	273.074	384.521
ENSG00000002079.15	MYH16	0	0	1	0	0	0	0	0	0
ENSG00000002330.14	BAD	378	555	386	595.999	574.999	587.001	414.001	382.999	379
ENSG00000002549.13	LAP3	1330.999	1488	1168	1088.001	917.999	929	1044	1023.998	1051
ENSG00000002586.20	CD99	492.047	1517.925	633.062	1160.045	778.203	1013.621	738.376	950.755	507.8
ENSG00000002587.10	HS3ST1	0	0	0	0	0	0	0	0	0
ENSG00000002726.21	AOC1	5	1	1	9	0	0	2	0	0
ENSG00000002745.13	WNT16	0	0	0	0	0	0	0	0	0
ENSG00000002746.15	HECW1	1	5	3	5	13	9	4	6	4
ENSG00000002822.16	MAD1L1	340.446	625.508	319.546	613.46	573.472	596.331	381.44	395.529	452.192
ENSG00000002834.19	LASP1	4637.001	8231	4331	9521.999	7541	8384	5835.999	5933	5877.001
ENSG00000002919.15	SNX11	426.001	547	428	596.001	505.999	502.001	394.999	412.999	374
ENSG00000002933.9	TMEM176A	0	0	1	0	0	1	0	0	0
ENSG00000003056.8	M6PR	4144	5773	4114	3816	3027	3238	4055.999	3818	3872.999
ENSG00000003096.15	KLHL13	697.999	915.999	586	916.6	790.999	784.999	664	603	681.599
ENSG00000003137.9	CYP26B1	15	108.999	8	87	80	72	74	61	59.999
ENSG00000003147.19	ICA1	15	11	6	15	13	14	9	11	2
ENSG00000003249.15	DBNDD1	10	14	10	52.999	43	40	11	9	4
ENSG00000003393.16	ALS2	1039.002	1110	914.999	879	694	676.999	778.002	818	894.001
ENSG00000003400.16	CASP10	2	4	4	68	28	44.999	0	2	0
ENSG00000003402.21	CFLAR	301.71	509.999	296.999	454.899	312	402	357.001	379	380.001
ENSG00000003436.16	TFPI	556	956	488	1493	1181.001	1146.001	633	697.001	738
ENSG00000003509.16	NDUFAF7	440.999	451.999	378.001	387.999	348	319.999	330	298.999	317.002
ENSG00000003756.17	RBM5	2046	2146	1721.999	2591	2014	2024	1580.001	1615.999	1832.001
ENSG00000003987.14	MTMR7	0	0	0	0	0	2	1	0	0
ENSG00000003989.18	SLC7A2	0	0	0	0	0	0	0	0	0
ENSG00000004059.11	ARF5	1640.998	2782	1592.001	2351.894	2095	2161	1914.001	1917.999	1644.999
ENSG00000004139.14	SARM1	101.39	66	110.921	41.222	30	40.355	45.001	42.998	49.377
ENSG00000004142.12	POLDIP2	3599	3917	3292	2709	2305	2462	2662	2728	2615
ENSG00000004399.13	PLXND1	221	563.999	213.999	1010	828.999	855	391.001	372.999	454
ENSG00000004455.18	AK2	8605.541	8771.426	8043.966	6892.111	5755.863	5929.874	6357.491	6349.998	6255.896
ENSG00000004468.13	CD38	81	302.001	78	4244	3334	3345.001	227.001	206	213
ENSG00000004478.8	FKBP4	15288.999	14137.998	14342.001	4436	3715	3879	10108	10048	10069.999
ENSG00000004487.18	KDM1A	5357.998	7282.999	4902.999	4280	3606.999	3744.001	5106	5308.001	5367.999
ENSG00000004534.15	RBM6	1544.001	2011.001	1426.999	1493.999	1170	1237.998	1417	1419.999	1679.999
ENSG00000004660.15	CAMKK1	215	216	196	87	68	85	162	120	149.001
ENSG00000004700.16	RECQL	1103	1173	1078	1748	1371	1357	778	852	871.001
ENSG00000004766.17	VPS50	275	441	279	293	224	284.001	266	288	291
ENSG00000004776.13	HSPB6	2	15	1	41	30	43	13	10	4
ENSG00000004777.19	ARHGAP33	502.999	618.999	371.001	1135.001	849.001	904.999	435.001	400.999	594
ENSG00000004779.10	NDUFAB1	2381.999	2941	2302	1585	1311.999	1424.999	2154.001	2258.999	1971
ENSG00000004799.8	PDK4	0	0	0	0	0	0	0	0	0
ENSG00000004809.14	SLC22A16	0	0	0	0	0	0	0	0	0
ENSG00000004838.14	ZMYND10	24	25.999	18	13	11	13	8	11	18
ENSG00000004846.17	ABCB5	0	0	0	0	0	0	0	0	0
ENSG00000004848.8	ARX	1	3	2.001	2.001	4.002	2	0	3.008	0
ENSG00000004864.14	SLC25A13	239	158.001	194	124	108	124	105	124	123
ENSG00000004866.22	ST7	817.928	1002.001	770.001	577.998	497	482	661.861	695	681.999
ENSG00000004897.12	CDC27	2955.002	3726	2799.001	2989.001	2368.999	2346.942	2593.001	2645.001	2718.999
ENSG00000004939.16	SLC4A1	1	1	0	0	0	1	0	0	0
ENSG00000004948.16	CALCR	0	0	0	0	0	0	0	0	0
ENSG00000004961.15	HCCS	689.001	864.001	621	617	473.001	517.001	645	616	619.999
ENSG00000004975.12	DVL2	2274.999	3438	2034.001	3287	2763.001	2924.698	2344.998	2371	2479
ENSG00000005001.10	PRSS22	0	0	0	0	0	0	0	0	0
ENSG00000005007.14	UPF1	4574	5340	4101.999	3501.999	2774	2853	3780	3794	4138
ENSG00000005020.13	SKAP2	0	0	0	0	0	0	0	0	0
ENSG00000005022.6	SLC25A5	17383.999	21290.996	16316	21411.998	19455.997	19546.996	14244.997	14537.999	13213.993
ENSG00000005059.16	MCUB	1160.001	1601.001	1095.001	1290.001	1087	1090.001	1121	1150	1113.001
ENSG00000005073.6	HOXA11	0	0	0	1	1	0	0	0	0
ENSG00000005075.16	POLR2J	1174.043	1627.23	1210.878	1316.574	1075.825	1106.077	1038.579	1231.676	1117.351
ENSG00000005100.13	DHX33	1923.001	1962	1896	595	407.999	439.999	1394.999	1394	1500
ENSG00000005102.14	MEOX1	0	0	0	0	0	0	0	0	0
ENSG00000005108.17	THSD7A	136	8	150	118	80	64	5	3	7
ENSG00000005156.12	LIG3	1133.999	1608.999	1031.001	1627.999	1303.999	1379.001	1055.001	1090.001	1202.998
ENSG00000005175.10	RPAP3	1171	1371	1154.001	1044	858.999	895	954	1009.001	957.999
ENSG00000005187.12	ACSM3	200	251	191.001	296	242	220.001	151	155.001	173
ENSG00000005189.20	REXO5	337.999	388	301	646	572.001	581.999	280	237	277.001
ENSG00000005194.15	CIAPIN1	1536	1590.002	1272.998	1029	859	870	1052	1021.995	1017.994
ENSG00000005206.17	SPPL2B	1058.173	1650.601	914.999	1696.647	1390.425	1418.601	1113	1168	1349.557
ENSG00000005238.20	ATOSB	54	126	51	249	247	225	82.001	84	73.999
ENSG00000005243.10	COPZ2	0	0	0	0	1	1	1	0	0
ENSG00000005249.14	PRKAR2B	17	37	21	32	23	19	17	19	16
ENSG00000005302.19	MSL3	371.575	494.999	296	521	423	473	359	327	384
ENSG00000005339.15	CREBBP	2786	3271.25	2615.001	4242	2938	3189.417	2389	2424	2632
ENSG00000005379.17	TSPOAP1	840	492	680	644	458	464	376.002	372.999	487
ENSG00000005381.9	MPO	0	0	1	1	2	0	0	0	0
ENSG00000005421.9	PON1	7	153	3	4	8	3	106	131	111
ENSG00000005436.14	GCFC2	800	675.999	700	579.001	460.001	449.999	451	472	521.998
ENSG00000005448.17	WDR54	873	1514.001	844.999	2082	1924.998	1933	1000.998	1030.001	950
ENSG00000005469.12	CROT	257	407	251	225	147	154.001	275.999	272	297
ENSG00000005471.19	ABCB4	7	13	11	21	16	9	6	8	6
ENSG00000005483.23	KMT2E	1760.001	2965.001	1574	3310.001	2395.966	2345.211	2182	2164.003	2422.001
ENSG00000005486.17	RHBDD2	625	1252	615	1897.999	1701	1622	895.001	858	843
ENSG00000005513.11	SOX8	6	10	10	6	4	13	10.012	5	6
ENSG00000005700.15	IBTK	1027	1752.001	935.999	2201	1697.001	1632.001	1205	1170	1304
ENSG00000005801.18	ZNF195	857	838.911	641.002	687.999	526	524.001	605	634.999	763
ENSG00000005810.20	MYCBP2	2842	2650.999	2614.999	2971.999	2039.999	2041	1874.999	1907.999	2243.001
ENSG00000005812.11	FBXL3	1001	880	985	1012	866.999	873	639	644	652
ENSG00000005844.19	ITGAL	93	81	69.001	398	320	333	57	44	84.999
ENSG00000005882.12	PDK2	159	396.001	188	455	348	366.001	280	253	266.001
ENSG00000005884.18	ITGA3	28.002	60	23	122	125	105	51	42	51
ENSG00000005889.16	ZFX	903.999	966	864	818.001	605.999	608.999	642	662.001	733.992
ENSG00000005893.17	LAMP2	2225	2961.999	2099.001	2776	2263.001	2350	2039.001	2089	2203
ENSG00000005961.19	ITGA2B	5	12	5	32.001	32.999	16	6	7	11
ENSG00000005981.13	ASB4	0	0	0	0	0	0	0	0	0
ENSG00000006007.12	GDE1	1466	2212	1527.999	2277.999	1899	1985	1477	1648	1493.999
ENSG00000006015.18	REX1BD	392.999	597	298.999	453.001	392.001	466.999	413	418	413
ENSG00000006016.12	CRLF1	10	31	10	11	4	13	19	19	18.001
ENSG00000006025.13	OSBPL7	204.001	207	168.999	266.999	223	216.001	121.999	141	201
ENSG00000006042.12	TMEM98	0	0	0	0	0	0	0	0	0
ENSG00000006047.13	YBX2	720.999	1243	563	1031	934	984.001	916.001	866.001	1146
ENSG00000006059.4	KRT33A	0	0	0	0	0	0	0	0	0
ENSG00000006062.18	MAP3K14	97	155	99	124	101	106	113	114	112
ENSG00000006071.16	ABCC8	0	0	0	0	0	0	0	0	0
ENSG00000006116.4	CACNG3	0	0	0	0	0	0	0	0	0
ENSG00000006118.15	TMEM132A	0	1	0	0	0	1	0	0	0
ENSG00000006125.18	AP2B1	4388.001	6707.001	4161	5896.999	4559	4751	4756.002	4980	5044.998
ENSG00000006128.12	TAC1	0	0	0	0	0	0	0	0	0
ENSG00000006194.11	ZNF263	1026.001	1353.999	1002.001	824.999	688	763	869	904.998	933
ENSG00000006210.7	CX3CL1	0	0	0	0	0	0	0	0	0
ENSG00000006282.22	SPATA20	41	24	13	109.001	79	106	24.001	19	21
ENSG00000006283.18	CACNA1G	0	0	0	2	0	1	2	0	1
ENSG00000006327.14	TNFRSF12A	43	37	33	46	36	42	25.001	31	29
ENSG00000006377.11	DLX6	0	0	0	0	0	0	0	0	0
ENSG00000006432.16	MAP3K9	146	284.001	145	499.999	354.001	347.999	231.999	249	281
ENSG00000006451.8	RALA	1389	1681	1282	1862	1478	1520	1213.999	1219.999	1230.001
ENSG00000006453.14	BAIAP2L1	0	0	0	0	0	0	0	1	0
ENSG00000006459.11	KDM7A	136	400	138	1342	949	915	246	271	296
ENSG00000006468.15	ETV1	3	6	1	1	2	2	10	8	10
ENSG00000006530.18	AGK	1272.999	1058.999	1106.998	950.999	763.002	818	753	720.999	754.002
ENSG00000006534.17	ALDH3B1	12	1	9	17	33	18.999	1	1	8
ENSG00000006555.11	TTC22	0	0	0	0	0	0	0	0	0
ENSG00000006576.17	PHTF2	694.018	1155.999	684	1095.999	830	884.001	768	820	805.001
ENSG00000006606.9	CCL26	0	0	0	0	0	0	0	0	0
ENSG00000006607.14	FARP2	1387.999	1237	1272	828.001	641.999	580.001	989.001	987.999	1045
ENSG00000006611.17	USH1C	0	0	0	0	0	0	0	0	0
ENSG00000006625.18	GGCT	1712.997	2134.975	1759.393	2218.901	1764.949	1855.986	1534.958	1498.982	1510.93
ENSG00000006634.8	DBF4	1809.811	2035.764	1621.942	1685.833	1233.794	1280.954	1309.913	1381.966	1487.946
ENSG00000006638.13	TBXA2R	44	2	41	39	28	40	3	3	1
ENSG00000006652.15	IFRD1	1621.599	1512.016	1588.671	1192.776	910.263	965.464	1028.721	1019.755	1094.689
ENSG00000006659.13	LGALS14	0	0	0	0	1	1	0	0	0
ENSG00000006695.12	COX10	1004.158	1018.819	888.679	948.181	753.824	822.601	795.515	772.361	759.974
ENSG00000006704.11	GTF2IRD1	18	71.999	11	156	123	149	52	37	65
ENSG00000006712.15	PAF1	1508	1888	1356.001	2025	1557	1825	1404	1380	1472
ENSG00000006715.16	VPS41	884	1196.001	827	844	722.001	693	833	848.999	924.999
ENSG00000006740.18	ARHGAP44	31	79	26	117	96.001	109.001	53.001	56	47
ENSG00000006744.19	ELAC2	3370.999	3901	3096.001	1711.999	1405.001	1509.999	2549	2618	2624
ENSG00000006747.15	SCIN	0	0	0	0	1	0	0	0	0
ENSG00000006756.16	ARSD	0	0	0	0	0	0	0	0	0
ENSG00000006757.12	PNPLA4	0	0	0	0	0	0	0	0	0
ENSG00000006788.14	MYH13	0	0	0	0	0	0	0	0	0
ENSG00000006831.10	ADIPOR2	4326	5711	4294	4361	3410	3501	4053	4033	4030
ENSG00000006837.12	CDKL3	12.999	29.559	22.205	15.076	12.621	23.558	14.249	10.331	18.645
ENSG00000007001.13	UPP2	0	0	0	0	0	0	0	0	0
ENSG00000007038.11	PRSS21	2019	2007	1882	1179	1065.001	1051.999	1382.999	1398	1406
ENSG00000007047.16	MARK4	631	1151.999	600.999	1748	1369	1548	776	818	815
ENSG00000007062.12	PROM1	0	0	0	1	1	0	0	0	0
ENSG00000007080.11	CCDC124	2233.001	3104	2196	1696.001	1590	1555	2120.999	2148	2088
ENSG00000007129.18	CEACAM21	63	165	44	255	183.001	190	138	144.523	135.999
ENSG00000007168.14	PAFAH1B1	3288.999	4605	2956	4438.931	3525.999	3481.174	3093.163	3113	3535
ENSG00000007171.19	NOS2	0	0	0	0	0	0	0	0	0
ENSG00000007174.18	DNAH9	0	0	0	0	0	0	0	1	0
ENSG00000007202.16	BLTP2	5710	6232	5515	3534	2770	2987.001	4403	4298.999	4651
ENSG00000007216.16	SLC13A2	0	0	0	0	0	0	0	0	0
ENSG00000007237.19	GAS7	456.001	2617.999	372	2555	1968	2044	1862.001	1815	2002.999
ENSG00000007255.10	TRAPPC6A	105	198	96.001	315.999	291	288	139.001	133.999	116.999
ENSG00000007264.15	MATK	0	0	0	0	0	0	0	0	0
ENSG00000007306.15	CEACAM7	0	0	0	0	0	0	0	0	0
ENSG00000007312.14	CD79B	172.999	326.999	196.949	283.001	231	248	212	210.001	198.999
ENSG00000007314.12	SCN4A	19	21	26	163	131	135	13	20	15
ENSG00000007341.19	ST7L	183	257.999	167.999	247	194.998	217.999	161.999	180.001	187.999
ENSG00000007350.18	TKTL1	41	11	26	2310	2020	2069.001	9	8	20
ENSG00000007372.25	PAX6	64	239	65	579.001	505.001	478	188	212	201
ENSG00000007376.8	RPUSD1	1494	1707.999	1272	867	795.999	786	1031	1163	1009.999
ENSG00000007384.15	RHBDF1	6	0	1	0	0	1	0	1	0
ENSG00000007392.17	LUC7L	865	988	812.999	776.001	622	666.999	668.002	716	830.002
ENSG00000007402.12	CACNA2D2	1	1	0	11	7	5	0	1	0
ENSG00000007516.15	BAIAP3	56	17	47.001	21	19	20.999	18	22	10
ENSG00000007520.4	TSR3	1216	1864	1168	1172	963	1034	1292	1216	1129
ENSG00000007541.17	PIGQ	375.001	948.565	351.234	659.685	530.001	616.998	693.728	661.001	633.655
ENSG00000007545.16	CRAMP1	1107.145	1197.857	975.571	1668.023	1251.345	1261.39	888.466	902.768	1057.044
ENSG00000007866.22	TEAD3	4	14	8	43	24	24	7	3	6
ENSG00000007908.16	SELE	0	0	0	0	0	0	0	0	0
ENSG00000007923.17	DNAJC11	1504.001	1537.002	1436	769.999	630.001	645	1106	1068.999	1206
ENSG00000007933.13	FMO3	0	0	0	0	0	0	0	0	0
ENSG00000007944.15	MYLIP	438	598	403	585	510	506	478	445	511
ENSG00000007952.18	NOX1	0	0	0	0	0	1	0	0	0
ENSG00000007968.7	E2F2	1454	2614	1327	3024	2287	2570	1777	1836	1961
ENSG00000008018.9	PSMB1	3733	8532	3594	4414	3895	3765	5613	5725	5201
ENSG00000008056.14	SYN1	0	1.392	1	6	3.057	0	5	4	3
ENSG00000008083.14	JARID2	1240	1936	1274	2552	1910.001	2082	1557	1516	1555
ENSG00000008086.13	CDKL5	13	28	15	82	50	50	13	23	25
ENSG00000008118.10	CAMK1G	0	0	0	0	0	0	0	0	0
ENSG00000008128.23	CDK11A	1322.653	1282.265	1001.507	1577.567	1225.374	1323.053	974.172	878.282	1153.749
ENSG00000008130.15	NADK	1668.999	2337.999	1641	1392	1244.999	1262.998	1706.999	1674	1771.001
ENSG00000008196.13	TFAP2B	0	0	0	0	0	0	0	0	0
ENSG00000008197.5	TFAP2D	0	0	0	0	0	0	0	0	0
ENSG00000008226.20	DLEC1	2	10	1	7	5	4	4	10	3
ENSG00000008256.17	CYTH3	106	210	99	376	348	324	133	153	152
ENSG00000008277.15	ADAM22	928.999	908.998	848.001	989	678.001	710	673	645	711.001
ENSG00000008282.10	SYPL1	2121.001	3266	2128.999	2793.998	2186	2307.999	2213	2249	2185.999
ENSG00000008283.16	CYB561	27	14	20	3	5	7	6	6	9.999
ENSG00000008294.22	SPAG9	1129	1650	1046.001	1680	1240.001	1347.001	1149.003	1165.001	1396
ENSG00000008300.17	CELSR3	2044	1991.999	1772	790	578	605	1432	1350	1635
ENSG00000008311.16	AASS	392.999	683.001	359.001	698.999	604.998	552	485.999	494.001	588
ENSG00000008323.16	PLEKHG6	0	0	0	0	0	2	0	0	0
ENSG00000008324.12	SS18L2	584	678	565.999	496	477	441	416	478	443
ENSG00000008382.16	MPND	403.001	817	339	515	461.001	449	561.001	541.999	536
ENSG00000008394.13	MGST1	1	0	0	6	9	3	0	0	0
ENSG00000008405.12	CRY1	990	1242	995	1724	1387	1426	811	887	873.999
ENSG00000008438.5	PGLYRP1	0	1	1	1	1	1	1	0	1
ENSG00000008441.19	NFIX	261	486	241	517	477	420	367	357.001	370.837
ENSG00000008513.17	ST3GAL1	918	1652.999	872.999	3057.999	2580	2706	1092.001	1178.998	1217
ENSG00000008516.18	MMP25	2	8	4	16	17	16	5	6	9
ENSG00000008517.19	IL32	5536.997	13452.001	5116.001	15566.996	14301.999	14474.001	8887.001	9030	8263.001
ENSG00000008710.20	PKD1	1520.247	2134.107	1211.946	2800.839	2062.426	2258.289	1530.469	1413.588	1962.287
ENSG00000008735.14	MAPK8IP2	37	92	16	80	71	73	55	57	74
ENSG00000008838.21	MED24	1994	1927	1804.999	1289.001	1165.999	1130.002	1325	1295	1370
ENSG00000008853.18	RHOBTB2	153	208	169	167	128	146	161	133	161
ENSG00000008869.12	HEATR5B	772	750	672	859	601	635	478	534	683
ENSG00000008952.17	SEC62	1682.999	2193	1634	2369	1784	1817	1544	1520.999	1584.001
ENSG00000008988.11	RPS20	14127.999	17264.955	13030.998	18811.986	16019.999	16587.997	12584.685	12783.003	12197.995
ENSG00000009307.17	CSDE1	16028	20499	15179	18392.998	14955.999	14672.999	14991.998	15030.998	15466
ENSG00000009335.19	UBE3C	2832	3556	2811.999	1319	1027	1129	2485	2458	2590
ENSG00000009413.17	REV3L	1225.001	2191.001	1198.001	1672.656	1178	1158	1533	1648	1730
ENSG00000009694.14	TENM1	1	1	2	3	1	0	1	0	1
ENSG00000009709.12	PAX7	0	0	0	0	0	0	0	0	0
ENSG00000009724.18	MASP2	2	1	1	0	1	0	2	3	2
ENSG00000009765.15	IYD	0	0	0	0	0	0	0	0	0
ENSG00000009780.16	FAM76A	216	237	228	351	271	279.999	168	169	176
ENSG00000009790.15	TRAF3IP3	1001.001	1125	1017.001	1132	862.001	856	784.999	782	812.002
ENSG00000009830.13	POMT2	415	474	346	371.999	269	259	306	367.999	400.002
ENSG00000009844.16	VTA1	1644	2665	1535	1884	1441	1599.001	1817	1835	1814.999
ENSG00000009950.16	MLXIPL	0	0	0	1	1	0	0	0	0
ENSG00000009954.11	BAZ1B	7150	8199.001	6448	7375.999	5523	5729	6023.999	6139.001	6849
ENSG00000010017.13	RANBP9	1573	2695.759	1428	3614	2883	2899.244	1929	1943	1976
ENSG00000010030.14	ETV7	4	3	4	22	10	13	1	0	0
ENSG00000010072.16	SPRTN	520	565	548	442	416	385	389	444	393.999
ENSG00000010165.20	METTL13	1970	1963	1809	1137	957	952	1461.001	1410	1434
ENSG00000010219.14	DYRK4	414.894	551	405	650.041	534.001	558.999	381	405	368.001
ENSG00000010244.19	ZNF207	6351.999	7800.939	5845	3729	2995.002	3069.001	5693	5566	5996.001
ENSG00000010256.11	UQCRC1	4894	8425.999	4629	5861	5101.999	5274.999	5679.999	5905.001	5633
ENSG00000010270.14	STARD3NL	910	1259.999	907	1308.001	1040.999	1124.999	786.998	809.999	711
ENSG00000010278.15	CD9	0	0	1	1	3	5	2	2	1
ENSG00000010282.15	HHATL	0	0	0	0	0	0	0	0	0
ENSG00000010292.13	NCAPD2	10891.001	14524.999	10004.001	15058.556	11975	12376.999	9781.998	9786.001	10703.999
ENSG00000010295.20	IFFO1	335.002	547.001	329.001	538.001	454.999	445	369	357	408.001
ENSG00000010310.9	GIPR	30	72.999	23	218	172	183.001	56	47	71.001
ENSG00000010318.22	PHF7	447	711.999	427	615	494	532.999	454	493.999	512
ENSG00000010319.7	SEMA3G	355	368	303	84	67	68	251	281	300
ENSG00000010322.16	NISCH	1664.001	2086.001	1424.999	1982.001	1564.999	1670.999	1390	1353	1705
ENSG00000010327.10	STAB1	8	7	14	32	24.999	21	4	6	8
ENSG00000010361.14	FUZ	800.999	1071	752	1045	914.999	906	670.001	663	694.998
ENSG00000010379.16	SLC6A13	0	0	2	0	0	0	1	0	0
ENSG00000010404.18	IDS	739.113	852.194	830.486	1199.78	862.761	976.284	640.993	672.334	621.207
ENSG00000010438.17	PRSS3	0	0	0	0	0	0	0	0	0
ENSG00000010539.12	ZNF200	694	868	706	692	495.999	518	614.001	579.998	676
ENSG00000010610.10	CD4	4496.999	8411.001	4072.998	8393	7098	7312.999	5828.999	5661.001	5831.001
ENSG00000010626.15	LRRC23	24.083	74.327	39.706	174.695	142.058	141.869	57.112	60.294	63.496
ENSG00000010671.18	BTK	49	61	29	21	10	14	43	47.999	46
ENSG00000010704.19	HFE	249.001	398.999	248	224.001	166	219.001	259.002	273	263.999
ENSG00000010803.17	SCMH1	823	932.998	725	1008	834	830.001	637.998	721.001	677
ENSG00000010810.18	FYN	984	2074	987.999	3383	2656.999	2770.999	1379.999	1390.999	1405.999
ENSG00000010818.11	HIVEP2	634	1089	569	1636	1135.999	1126	768	796.999	899
ENSG00000010932.17	FMO1	0	1	1	1	1	0	1	2	0
ENSG00000011007.13	ELOA	1503	1760	1483	1032	868	917	1214	1277	1259
ENSG00000011009.11	LYPLA2	1072	1532.999	1078.001	1178.999	945.996	1026	1078	1117	1116.999
ENSG00000011021.23	CLCN6	524.999	613	459.002	661.999	564.862	527	428	396.999	566
ENSG00000011028.14	MRC2	421	745	379	1446.999	1135	1238.999	538	524	617
ENSG00000011052.21	NME1-NME2	284.19	270.308	247.803	95.896	141.094	76.705	193.965	132.053	158.941
ENSG00000011083.9	SLC6A7	0	0	0	0	0	0	0	0	0
ENSG00000011105.14	TSPAN9	11	103	20	328.001	288	271	65	59	68
ENSG00000011114.15	BTBD7	695	964	669	620	459.999	442	677	709	719
ENSG00000011132.12	APBA3	416	591	339.001	707.001	578	674.999	452	421	426.999
ENSG00000011143.19	MKS1	498	593.001	405.001	650	535	581	410.001	421	463
ENSG00000011198.10	ABHD5	341.001	436	275.001	310.648	291.001	288	300.999	290.001	317
ENSG00000011201.12	ANOS1	0	0	0	0	0	0	0	0	0
ENSG00000011243.19	AKAP8L	1741.998	2020.999	1623.999	3743	2995	3270	1426.002	1411.002	1583.999
ENSG00000011258.16	MBTD1	1043	1409.999	950	1392.999	1083	1058.999	912.001	1014	1118.999
ENSG00000011260.14	UTP18	1786.001	2039	1710	1186	1099	1053	1431	1448	1407.999
ENSG00000011275.19	RNF216	1573.531	1923.268	1492.526	2101.545	1638.247	1711.845	1323.213	1313.473	1511.298
ENSG00000011295.16	TTC19	1010	1406.001	922.942	1387	1134	1103	1017.001	1041	1044.002
ENSG00000011304.22	PTBP1	13090.999	15527.002	11979.001	13522.002	10919	11469.001	11282	11073.001	11603.002
ENSG00000011332.22	DPF1	44	85	62	141.999	131.999	120	75	68.999	72
ENSG00000011347.10	SYT7	10	6	5	4	2	0	7	1	2
ENSG00000011376.12	LARS2	1959.001	2095	1878.001	1074.001	842.999	884	1477	1555.999	1531
ENSG00000011405.14	PIK3C2A	591	807	558	672.999	510	507	528	590	717
ENSG00000011422.12	PLAUR	52	146.003	62.001	230.999	182.001	176.999	93	73.001	98
ENSG00000011426.11	ANLN	1198	1394.999	982	1496	1069	1086	1132	1077.001	1146.999
ENSG00000011451.21	WIZ	707.999	878.999	606	550	433.001	453.999	613	562	656.999
ENSG00000011454.18	RABGAP1	680	922	696	1063	862	904	675	660.001	719
ENSG00000011465.18	DCN	0	0	0	0	0	0	0	0	0
ENSG00000011478.13	QPCTL	323.001	518.999	312	317.001	285.001	287	378.999	338	332
ENSG00000011485.15	PPP5C	2901.998	3523.992	2713.001	2074.001	1754.998	1846.995	2525.996	2499	2389.002
ENSG00000011523.15	CEP68	367	635	346.999	639.002	457	494	460.999	456	539
ENSG00000011566.15	MAP4K3	390	407	323.421	416.239	331	331	269	289.174	305
ENSG00000011590.14	ZBTB32	6	3	2	0	0	1	1	1	0
ENSG00000011600.12	TYROBP	0	1	1	0	0	0	0	0	0
ENSG00000011638.11	LDAF1	379	607.001	372.999	783.999	695.001	701	474	425	417.001
ENSG00000011677.13	GABRA3	3	1	4	3	0	1	0	1	0
ENSG00000012048.25	BRCA1	1719	2418.002	1580.999	2826.002	2138.998	2298.001	1646	1720.001	1839.999
ENSG00000012061.17	ERCC1	1120	1534	1036	1214.999	940	1007.999	995.999	1058	1063
ENSG00000012124.17	CD22	0	0	0	0	0	1	0	0	0
ENSG00000012171.20	SEMA3B	2.01	6	3	19.999	17	12	7	4	6
ENSG00000012174.12	MBTPS2	538.725	709.23	569	770.83	594.994	610.787	468.752	482	565.213
ENSG00000012211.13	PRICKLE3	156.999	276.001	164	292	219	248	178	197	161
ENSG00000012223.13	LTF	9	9	9	9	7	15	10	9	5
ENSG00000012232.10	EXTL3	1708	2635	1604	2348.999	1805.002	1952.714	1885.001	1865.998	1843.999
ENSG00000012504.15	NR1H4	0	0	0	0	0	0	0	0	0
ENSG00000012660.14	ELOVL5	5197	8799.001	4912	8485	6960	7013	6316	6424.001	6409.001
ENSG00000012779.12	ALOX5	0	0	0	0	0	0	0	0	0
ENSG00000012817.16	KDM5D	0	0	0	0	0	0	0	0	0
ENSG00000012822.16	CALCOCO1	259.999	490.001	213.999	739.001	653	625	339.001	343.001	423.999
