gene_id,chromosome,gene_name,start,end,strand,n_transcripts,n_loci
MINAR2,HiC_scaffold_1,MINAR2,11008,36510,+,1,1
LOC100027674,HiC_scaffold_1,LOC100027674,56730,61224,-,1,1
CDC42SE2,HiC_scaffold_1,CDC42SE2,115666,243149,+,2,1
SPTLC1,HiC_scaffold_1,SPTLC1,304465,395569,+,3,1
LOC130456034,HiC_scaffold_1,LOC130456034,455177,455248,+,1,1
ROR2,HiC_scaffold_1,ROR2,602499,673305,+,5,1
NFIL3,HiC_scaffold_1,NFIL3,702315,704213,+,3,1
LOC100028211,HiC_scaffold_1,LOC100028211,742519,876932,+,8,1
LOC130458554,HiC_scaffold_1,LOC130458554,974758,997667,+,1,1
SYK,HiC_scaffold_1,SYK,1092960,1164770,+,7,1
DIRAS2,HiC_scaffold_1,DIRAS2,1183123,1200637,-,1,1
LOC103105683,HiC_scaffold_1,LOC103105683,1213814,1261373,-,2,1
DCP2,HiC_scaffold_1,DCP2,1439065,1446256,+,3,1
MCC,HiC_scaffold_1,MCC,1451054,1456596,-,1,1
ISOC1,HiC_scaffold_1,ISOC1,1517057,1584339,-,1,1
SLC25A46,HiC_scaffold_1,SLC25A46,1596624,1622700,+,4,1
LOC103092330,HiC_scaffold_1,LOC103092330,1666419,1698865,+,3,1
WDR36,HiC_scaffold_1,WDR36,1701483,1761060,+,2,1
CAMK4,HiC_scaffold_1,CAMK4,1789947,1944632,+,8,1
LOC103095102,HiC_scaffold_1,LOC103095102,1996550,1999018,+,4,1
LOC103094797,HiC_scaffold_1,LOC103094797,1998879,2029642,-,4,1
YTHDC2,HiC_scaffold_1,YTHDC2,2076105,2149994,+,1,1
KCNN2,HiC_scaffold_1,KCNN2,2246787,2427949,+,1,1
TRIM36,HiC_scaffold_1,TRIM36,2497297,2553318,-,6,1
PGGT1B,HiC_scaffold_1,PGGT1B,2569987,2572799,+,4,1
PRRC1,HiC_scaffold_1,PRRC1,2701129,2749657,-,4,1
LOC103097673,HiC_scaffold_1,LOC103097673,2749728,2783440,+,1,1
