chrom	length	bases	mean	min	max
chr1	195154279	3525203189	18.06	0	42781
chr2	181755017	3469884920	19.09	0	46959
chr3	159745316	2764589232	17.31	0	3270
chr4	156860686	2884543023	18.39	0	1834
chr5	151758149	2831728238	18.66	0	4601
chr6	149588044	2725680994	18.22	0	23185
chr7	144995196	2675311247	18.45	0	990
chr8	130127694	2416505267	18.57	0	1888
chr9	124359700	2432800252	19.56	0	20331
chr10	130530862	2378735289	18.22	0	1402
chr11	121973369	2513406751	20.61	0	3299
chr12	120092757	2138345382	17.81	0	9186
chr13	120883175	2208707990	18.27	0	4198
chr14	125139656	2113025826	16.89	0	6847
chr15	104073951	1934050494	18.58	0	4580
chr16	98008968	1744290482	17.80	0	5515
chr17	95294699	1821192473	19.11	0	3915
chr18	90720763	1639740659	18.07	0	2669
chr19	61420004	1169576375	19.04	0	3383
chrX	169476592	1283218975	7.57	0	5835
chrY	91455967	88682115	0.97	0	1655
chrM	16299	46420851	2848.08	0	6049
GL456210.1	169725	2352532	13.86	0	639
GL456211.1	241735	3551945	14.69	0	236
GL456212.1	153618	2666017	17.35	0	183
GL456219.1	175968	3982	0.02	0	25
GL456221.1	206961	2378744	11.49	0	174
GL456233.2	559103	3250595	5.81	0	855
GL456239.1	40056	2731357	68.19	0	774
GL456354.1	195993	260958	1.33	0	50
GL456359.1	22974	0	0.00	0	0
GL456360.1	31704	0	0.00	0	0
GL456366.1	47073	342	0.01	0	4
GL456367.1	42057	445622	10.60	0	180
GL456368.1	20208	718843	35.57	0	113
GL456370.1	26764	368757	13.78	0	723
GL456372.1	28664	393289	13.72	0	102
GL456378.1	31602	1130808	35.78	0	289
GL456379.1	72385	0	0.00	0	0
GL456381.1	25871	842163	32.55	0	392
GL456382.1	23158	108888	4.70	0	24
GL456383.1	38659	1234228	31.93	0	933
GL456385.1	35240	492180	13.97	0	54
GL456387.1	24685	1728124	70.01	0	523
GL456389.1	28772	617458	21.46	0	1534
GL456390.1	24668	1504132	60.98	0	1783
GL456392.1	23629	2006039	84.90	0	3861
GL456394.1	24323	577438	23.74	0	584
GL456396.1	21240	1385008	65.21	0	1161
JH584295.1	1976	38110	19.29	0	35
JH584296.1	199368	39663	0.20	0	17
JH584297.1	205776	79092	0.38	0	23
JH584298.1	184189	593	0.00	0	4
JH584299.1	953012	2347668	2.46	0	57
JH584300.1	182347	491	0.00	0	4
JH584301.1	259875	1082	0.00	0	2
JH584302.1	155838	211	0.00	0	2
JH584303.1	158099	1411	0.01	0	4
JH584304.1	114452	36498338	318.90	0	5651
MU069434.1	8412	243686	28.97	0	107
MU069435.1	31129	34536296	1109.46	0	4329
TG_CD1A	185655	109158	0.59	0	30
TG_MTTH	254010	2323299	9.15	0	65
TG_RAGH	38566	0	0.00	0	0
total	2728700682	46912608571	17.19	0	46959
