chr1	15717	78585525	78585550	18
chr5	6973	34865535	34865535	14
chr5	20844	104220188	104220188	10
chr10	24319	121599139	121599139	7
chr14	9210	46050272	46050272	7
chr11	4584	22923177	22923177	6
chr17	686	3430088	3430090	6
chr7	18018	90091184	90091184	6
chrX	28859	144298030	144298040	6
chr13	893	4465673	4465675	5
chr15	19858	99292533	99292533	5
chr16	2130	10650514	10650514	5
chr8	23914	119573961	119573961	5
chr10	24583	122918657	122918737	4
chr15	18382	91910392	91910392	4
chr12	8188	40943720	40943720	3
chr15	20241	101209294	101209294	3
chr16	18696	93483610	93483610	3
chr18	14311	71556414	71556416	3
chr3	26696	133481847	133481847	3
chr5	26057	130287568	130287568	3
chr6	25761	128806035	128806035	3
chr7	12711	63558923	63558925	3
chr7	23210	116051656	116051656	3
chr9	11866	59331795	59331796	3
