gene_id	gene_name	16_1	16_2	16_3	A_1	A_2	A_3
ENSG00000000003.16	TSPAN6	0	0	0	0	0	0
ENSG00000000005.6	TNMD	0	0	0	0	0	0
ENSG00000000419.14	DPM1	58.555047	58.230111	56.627221	59.328758	57.124545	56.411153
ENSG00000000457.14	SCYL3	5.310765	5.078579	5.613408	6.320442	6.586588	6.464847
ENSG00000000460.17	FIRRM	15.311672	15.779071	13.124346	20.836355	22.352958	21.164943
ENSG00000000938.13	FGR	1.672829	1.76404	1.615547	2.883472	2.631168	2.536356
ENSG00000000971.17	CFH	0.36792	0.160982	0.354772	0.345366	0.339625	0.171198
ENSG00000001036.14	FUCA2	39.131561	38.641869	38.606108	34.414165	36.631408	37.75278
ENSG00000001084.13	GCLC	6.644839	9.345198	8.138956	9.701015	8.479774	6.717514
ENSG00000001167.15	NFYA	20.268652	19.491204	18.826901	22.773676	22.824026	23.663042
ENSG00000001460.18	STPG1	1.504724	1.590712	1.394394	2.581676	2.956394	2.704291
ENSG00000001461.17	NIPAL3	7.881381	7.83576	8.270807	12.194496	12.692478	12.103453
ENSG00000001497.18	LAS1L	64.92594	64.935808	65.283087	49.634973	48.002306	45.201429
ENSG00000001561.7	ENPP4	0	0	0	0	0	0
ENSG00000001617.12	SEMA3F	0	0.035683	0.041571	0.084875	0	0.099837
ENSG00000001626.18	CFTR	0.014836	0	0.008054	0.089275	0.015195	0.016252
ENSG00000001629.10	ANKIB1	5.168729	5.514404	4.764903	5.808459	6.425527	6.221595
ENSG00000001630.18	CYP51A1	25.701785	26.341431	26.429436	21.567333	21.513302	19.663641
ENSG00000001631.17	KRIT1	9.608342	9.909543	9.421255	12.03006	12.443931	11.954239
ENSG00000002016.18	RAD52	6.840165	7.134422	5.531437	6.744676	8.531016	6.259479
ENSG00000002079.15	MYH16	0	0	0	0.006502	0	0.007634
ENSG00000002330.14	BAD	16.948959	13.466348	15.571514	18.497964	18.981468	16.35751
ENSG00000002549.13	LAP3	54.617549	53.949295	53.177471	42.771392	42.849231	44.13698
ENSG00000002586.20	CD99	55.39246	40.803688	64.028421	48.371895	76.538348	69.336477
ENSG00000002587.10	HS3ST1	0	0.005847	0.01207	0.229237	0.005795	0.024735
ENSG00000002726.21	AOC1	0	0.017913	0	0	0.052886	0.171272
ENSG00000002745.13	WNT16	0	0	0	0	0	0
ENSG00000002746.15	HECW1	0.007933	0	0	0.050431	0	0
ENSG00000002822.16	MAD1L1	49.624684	46.016652	50.806569	60.203824	63.058856	63.065268
ENSG00000002834.19	LASP1	81.129658	82.652045	84.00363	106.58964	110.372998	105.152477
ENSG00000002919.15	SNX11	20.167648	17.844	18.147879	17.548278	18.328581	16.678231
ENSG00000002933.9	TMEM176A	1.67208	2.606679	1.852119	4.849619	5.28738	4.815206
ENSG00000003056.8	M6PR	117.78556	126.863568	137.463661	107.989908	104.191173	110.214611
ENSG00000003096.15	KLHL13	2.390765	2.540133	2.515539	3.123709	3.126797	2.739499
ENSG00000003137.9	CYP26B1	0.6329	0.740911	0.721118	0.926659	0.896566	1.043011
ENSG00000003147.19	ICA1	3.630279	5.230223	5.171011	6.126837	6.596507	3.727121
ENSG00000003249.15	DBNDD1	2.591096	2.763159	2.425849	3.170697	2.485304	2.565773
ENSG00000003393.16	ALS2	3.953191	3.447306	3.891594	5.263437	5.749986	4.458057
ENSG00000003400.16	CASP10	3.888426	3.067714	3.246299	5.3781	5.066785	4.598782
ENSG00000003402.21	CFLAR	18.709445	15.963693	15.089554	19.158413	18.926532	19.51174
ENSG00000003436.16	TFPI	0	0	0	0	0	0
ENSG00000003509.16	NDUFAF7	12.37061	11.592334	11.863244	12.338594	12.569378	13.110698
ENSG00000003756.17	RBM5	81.426181	85.329582	80.833135	88.705274	88.67709	91.24398
ENSG00000003987.14	MTMR7	0.019934	0.008274	0.017075	0.052216	0.016408	0
ENSG00000003989.18	SLC7A2	6.601842	6.767006	6.437181	5.144051	5.558446	5.149627
ENSG00000004059.11	ARF5	66.399279	68.088681	68.497346	90.85793	91.142129	87.053075
ENSG00000004139.14	SARM1	0.949478	0.723455	0.440851	0.077412	0.184569	0.250934
ENSG00000004142.12	POLDIP2	53.534257	50.159041	56.700371	53.972925	53.532691	53.599922
ENSG00000004399.13	PLXND1	88.29142	93.962704	76.631127	95.636223	102.50943	101.345989
ENSG00000004455.18	AK2	579.648914	577.917151	598.189754	364.658884	366.105306	352.543985
ENSG00000004468.13	CD38	9.685527	9.651084	11.257421	7.793683	6.50464	6.02446
ENSG00000004478.8	FKBP4	49.735199	52.297552	47.620068	35.689892	36.031732	36.111577
ENSG00000004487.18	KDM1A	40.329302	37.349566	37.062708	39.036023	40.423882	36.512334
ENSG00000004534.15	RBM6	36.567123	40.414519	35.762986	37.830385	38.728721	40.595813
ENSG00000004660.15	CAMKK1	1.706581	1.411964	1.316644	1.468139	1.492171	1.631893
ENSG00000004700.16	RECQL	24.653012	23.629218	23.083704	34.073647	33.210898	34.974369
ENSG00000004766.17	VPS50	9.550099	8.017369	9.189775	11.316003	11.110963	10.13639
ENSG00000004776.13	HSPB6	0.061396	0.031725	0.130458	0.114746	0.063208	0.101818
ENSG00000004777.19	ARHGAP33	5.426926	7.93387	6.016449	11.223841	12.019029	12.093642
ENSG00000004779.10	NDUFAB1	165.779227	163.926743	165.27861	148.959232	149.805431	157.101002
ENSG00000004799.8	PDK4	0	0	0	0	0	0
ENSG00000004809.14	SLC22A16	0.333403	0.388708	0.358351	0.39239	0.272636	0.35169
ENSG00000004838.14	ZMYND10	0.230452	0.165062	0.158304	0.408473	0.487968	0.136055
ENSG00000004846.17	ABCB5	0	0	0	0	0	0
ENSG00000004848.8	ARX	0.597868	0.556067	0.499061	0.325564	0.194103	0.271259
ENSG00000004864.14	SLC25A13	16.267306	16.159971	16.240492	16.689731	18.039072	16.359348
ENSG00000004866.22	ST7	11.210286	10.049029	9.49146	13.072709	12.328283	12.728733
ENSG00000004897.12	CDC27	19.066263	20.713475	18.515345	24.13096	29.08137	25.594254
ENSG00000004939.16	SLC4A1	0	0	0	0	0	0
ENSG00000004948.16	CALCR	0	0.012017	0	0	0	0
ENSG00000004961.15	HCCS	16.429979	15.763513	18.771406	15.319655	14.7676	15.960049
ENSG00000004975.12	DVL2	23.330047	23.101476	22.013505	26.204455	27.64963	27.901349
ENSG00000005001.10	PRSS22	0	0	0	0	0	0
ENSG00000005007.14	UPF1	34.088423	34.2318	33.10456	38.414426	37.90874	37.273471
ENSG00000005020.13	SKAP2	15.809532	12.285402	13.800622	15.744416	18.196528	18.276163
ENSG00000005022.6	SLC25A5	469.21544	460.857867	468.749494	539.565703	535.957877	532.73596
ENSG00000005059.16	MCUB	5.123132	9.132899	6.684243	15.413699	13.139216	17.127394
ENSG00000005073.6	HOXA11	10.421139	9.980667	12.055884	14.340908	15.236948	14.185994
ENSG00000005075.16	POLR2J	56.143443	60.246054	58.306458	66.082393	64.663807	68.759588
ENSG00000005100.13	DHX33	15.304117	14.63388	14.839881	10.241943	11.83956	11.587532
ENSG00000005102.14	MEOX1	0	0	0	0	0	0
ENSG00000005108.17	THSD7A	3.779778	4.186447	3.549441	5.232532	6.084296	5.089114
ENSG00000005156.12	LIG3	14.930781	18.455431	19.713124	23.941552	19.488981	19.782647
ENSG00000005175.10	RPAP3	27.766863	25.42461	28.94797	26.335104	26.427065	21.774554
ENSG00000005187.12	ACSM3	1.411523	1.652047	1.401597	1.479855	1.033407	1.332668
ENSG00000005189.20	REXO5	12.397741	12.747933	13.656656	18.871342	17.484871	18.002049
ENSG00000005194.15	CIAPIN1	37.641221	37.360573	37.786148	30.965154	34.969798	34.34323
ENSG00000005206.17	SPPL2B	60.178824	66.369091	53.051244	56.254324	58.235838	60.166329
ENSG00000005238.20	ATOSB	4.675498	4.442019	4.308084	5.098418	6.149385	6.740139
ENSG00000005243.10	COPZ2	0.1454	0.079441	0	0.068661	0	0.178605
ENSG00000005249.14	PRKAR2B	8.734758	6.987311	6.856657	12.557682	12.588513	12.122585
ENSG00000005302.19	MSL3	11.073773	8.933469	8.740869	11.099822	13.258429	12.236765
ENSG00000005339.15	CREBBP	8.5237	8.714524	9.344067	12.250986	11.636387	10.619147
ENSG00000005379.17	TSPOAP1	44.774437	46.398415	36.425434	41.689533	45.139593	47.797294
ENSG00000005381.9	MPO	2.686265	2.442912	2.629368	4.767456	4.025241	4.76399
ENSG00000005421.9	PON1	0	0	0	0	0	0
ENSG00000005436.14	GCFC2	10.320085	10.266302	11.199994	10.519054	8.105603	8.899006
ENSG00000005448.17	WDR54	2.101106	1.787734	3.299821	3.553761	5.696601	5.782866
ENSG00000005469.12	CROT	0	0.106811	0.040307	0.127885	0.102263	0.099317
ENSG00000005471.19	ABCB4	0	0.053915	0	0.073138	0	0
ENSG00000005483.23	KMT2E	9.577285	10.05906	9.020043	14.539142	13.85484	13.39674
ENSG00000005486.17	RHBDD2	8.979534	9.9287	8.999008	11.20082	12.18107	11.677054
ENSG00000005513.11	SOX8	0	0	0	0	0	0
ENSG00000005700.15	IBTK	14.997969	14.50336	14.300508	17.687674	16.28626	15.584227
ENSG00000005801.18	ZNF195	25.396518	20.38881	25.026538	18.023922	20.176601	17.182957
