Chromosome	Ploidy	Ploidy_rounded	Mean_coverage
chr1	2.002132205261835	2	18.77999997138977
chr2	2.0980810321830443	2	19.679999962449074
chr3	1.9445629038666965	2	18.239999927580357
chr4	2.0746268807397255	2	19.46000002324581
chr5	2.119403001200796	2	19.880000030621886
chr6	2.029850761668689	2	19.040000028908253
chr7	2.1535181306992626	2	20.199999943375587
chr8	2.0852878530361627	2	19.55999994277954
chr9	2.159914722258466	2	20.259999971836805
chr10	2.0447761293970013	2	19.179999977350235
chr11	2.2729211257441952	2	21.320000030100346
chr12	2.0255863694140332	2	19.000000029802322
chr13	2.07249468818677	2	19.44000005722046
chr14	1.9744136655353854	2	18.52000007033348
chr15	2.085287849064638	2	19.559999905526638
chr16	1.997867819361619	2	18.740000031888485
chr17	2.1343283484757554	2	20.019999787211418
chr18	2.0490405272117918	2	19.22000002861023
chr19	2.194029857515644	2	20.579999938607216
chrX	0.8997867887671847	1	8.440000027418137
chrY	0.42643923499722386	0	4.0
chrM	460.7942455495615	461	4322.249997025356
GL456210.1	1.50319830908421	2	14.10000005364418
GL456211.1	1.6545842361102476	2	15.520000040531158
GL456212.1	2.040511737936651	2	19.139999985694885
GL456219.1	0.4232409406076559	0	3.969999998807907
GL456221.1	1.2579957445126984	1	11.800000011920929
GL456233.2	0.7803838044453693	1	7.3200000412762165
GL456239.1	5.62686569102224	6	52.77999986149371
GL456354.1	0.42643923340861395	0	3.999999985098839
GL456359.1	0.0	0	0
GL456360.1	0.049040512914302316	0	0.46000000834465027
GL456366.1	0.20469082822347082	0	1.9199999570846558
GL456367.1	0.881663114139001	1	8.269999960437417
GL456368.1	4.927505351925631	5	46.21999992057681
GL456370.1	1.147121551054634	1	10.760000083595514
GL456372.1	1.9317697366343893	2	18.120000019669533
GL456378.1	2.017057585699027	2	18.920000039041042
GL456379.1	0.0575692974236136	0	0.5400000065565109
GL456381.1	3.008528808934189	3	28.220000056549907
GL456382.1	0.924307039664201	1	8.669999979436398
GL456383.1	2.4829424456760196	2	23.28999999910593
GL456385.1	1.5618336992099289	2	14.650000009685755
GL456387.1	7.827292170479252	8	73.42000011354685
GL456389.1	1.2899786860254632	1	12.100000001490116
GL456390.1	8.296375300222358	8	77.81999984383583
GL456392.1	2.8166311445672294	3	26.419999975711107
GL456394.1	1.4477611946818922	1	13.579999923706055
GL456396.1	1.7334754892470048	2	16.259999990463257
JH584296.1	0.298507463584606	0	2.7999999914318323
JH584297.1	0.26439232137725976	0	2.4799999594688416
JH584298.1	0.10660980874930596	0	1.0
JH584299.1	0.7302771892973019	1	6.8499999940395355
JH584300.1	0.1332622625252424	0	1.2500000149011612
JH584301.1	0.156716418734391	0	1.469999998807907
JH584302.1	0.030916845236287106	0	0.2900000065565109
JH584303.1	0.2473347575216195	0	2.320000011473894
JH584304.1	53.12366766828497	53	498.2999997045845
MU069435.1	158.9275063025101	159	1490.740000071004
TG_MTTH	0.20469083140069072	0	1.9199999868869781
TG_RAGH	1.0341151475689048	1	9.700000025331974
