chrom	start	end	depth	flag
TG_MTTH	36824	37324	1.47	LOW(possible_deletion)
TG_MTTH	37824	38324	2.43	LOW(possible_deletion)
TG_MTTH	43824	44324	2.47	LOW(possible_deletion)
TG_MTTH	44324	44824	0.87	LOW(possible_deletion)
TG_MTTH	45824	46324	2.88	LOW(possible_deletion)
TG_MTTH	46324	46824	3.13	LOW(possible_deletion)
TG_MTTH	49824	50324	3.57	LOW(possible_deletion)
TG_MTTH	50324	50824	1.23	LOW(possible_deletion)
TG_MTTH	53824	54324	3.36	LOW(possible_deletion)
TG_MTTH	54824	55324	3.77	LOW(possible_deletion)
TG_MTTH	55324	55824	2.64	LOW(possible_deletion)
TG_MTTH	57824	58324	3.47	LOW(possible_deletion)
TG_MTTH	58324	58824	1.94	LOW(possible_deletion)
TG_MTTH	59324	59824	3.84	LOW(possible_deletion)
TG_MTTH	60824	61324	2.76	LOW(possible_deletion)
TG_MTTH	61324	61824	3.74	LOW(possible_deletion)
TG_MTTH	62324	62824	3.55	LOW(possible_deletion)
TG_MTTH	62824	63324	3.57	LOW(possible_deletion)
TG_MTTH	63324	63824	3.34	LOW(possible_deletion)
TG_MTTH	64824	65324	3.58	LOW(possible_deletion)
TG_MTTH	65324	65824	2.85	LOW(possible_deletion)
TG_MTTH	67324	67824	2.46	LOW(possible_deletion)
TG_MTTH	68324	68824	2.70	LOW(possible_deletion)
TG_MTTH	68824	69324	3.72	LOW(possible_deletion)
TG_MTTH	69824	70324	3.32	LOW(possible_deletion)
TG_MTTH	72324	72824	3.74	LOW(possible_deletion)
TG_MTTH	74324	74824	3.20	LOW(possible_deletion)
TG_MTTH	80324	80824	1.77	LOW(possible_deletion)
TG_MTTH	80824	81324	2.95	LOW(possible_deletion)
TG_MTTH	83824	84324	3.84	LOW(possible_deletion)
TG_MTTH	84324	84824	3.57	LOW(possible_deletion)
TG_MTTH	84824	85324	3.43	LOW(possible_deletion)
TG_MTTH	88324	88824	3.85	LOW(possible_deletion)
TG_MTTH	88824	89324	3.77	LOW(possible_deletion)
TG_MTTH	89324	89824	3.52	LOW(possible_deletion)
TG_MTTH	91324	91824	3.49	LOW(possible_deletion)
TG_MTTH	92324	92824	3.01	LOW(possible_deletion)
TG_MTTH	93324	93824	2.95	LOW(possible_deletion)
TG_MTTH	94824	95324	2.69	LOW(possible_deletion)
TG_MTTH	96324	96824	3.31	LOW(possible_deletion)
TG_MTTH	99324	99824	2.74	LOW(possible_deletion)
TG_MTTH	99824	100324	2.19	LOW(possible_deletion)
TG_MTTH	100824	101324	3.48	LOW(possible_deletion)
TG_MTTH	102324	102824	3.40	LOW(possible_deletion)
TG_MTTH	102824	103324	1.88	LOW(possible_deletion)
TG_MTTH	103324	103824	3.87	LOW(possible_deletion)
TG_MTTH	104824	105324	2.32	LOW(possible_deletion)
TG_MTTH	105324	105824	3.69	LOW(possible_deletion)
TG_MTTH	105824	106324	2.58	LOW(possible_deletion)
TG_MTTH	106324	106824	2.26	LOW(possible_deletion)
TG_MTTH	108324	108824	3.66	LOW(possible_deletion)
TG_MTTH	109324	109824	3.86	LOW(possible_deletion)
TG_MTTH	109824	110324	3.59	LOW(possible_deletion)
TG_MTTH	110324	110824	3.61	LOW(possible_deletion)
TG_MTTH	110824	111324	3.52	LOW(possible_deletion)
TG_MTTH	111324	111824	3.39	LOW(possible_deletion)
TG_MTTH	111824	112324	2.97	LOW(possible_deletion)
TG_MTTH	112324	112824	3.36	LOW(possible_deletion)
TG_MTTH	114824	115324	3.24	LOW(possible_deletion)
TG_MTTH	115324	115824	3.31	LOW(possible_deletion)
TG_MTTH	115824	116324	3.82	LOW(possible_deletion)
TG_MTTH	116824	117324	3.80	LOW(possible_deletion)
TG_MTTH	117324	117824	3.27	LOW(possible_deletion)
TG_MTTH	118824	119324	3.79	LOW(possible_deletion)
TG_MTTH	124324	124824	3.69	LOW(possible_deletion)
TG_MTTH	125324	125824	3.48	LOW(possible_deletion)
