gene_id,gene_name,J_910,J_909,J_905,A,B,C,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSMUSG00000032826.20,Ank2,850,1039,980.999,1934.998,1645.999,1650,1339.24841735361,-0.5394930800253478,0.13007595683320733,8.934838266057434e-9,6.04218437742134e-5,Down
ENSMUSG00000072941.6,Sod3,2069,2528,1908,1252,1474,1225,1453.7916678906886,0.7050166881629166,0.19815741442093082,5.576847015825402e-9,6.04218437742134e-5,Up
ENSMUSG00000022464.15,Slc38a4,563,918,1043,4346,2077,2392,1615.8186265241147,-1.3732032924798172,0.32146851623112005,3.873184307046092e-8,1.746160591759946e-4,Down
ENSMUSG00000028207.19,Asph,6237,7303.002,7454.999,15370,12017,11816,9546.280806349303,-0.532428415664297,0.1480689982305568,1.021556824492153e-7,3.4541390128140924e-4,Down
ENSMUSG00000019841.17,Rev3l,786,1044,945,1950.001,1395.999,1540.001,1108.753355246436,-0.4775301607064175,0.1218424933541906,2.1629724701512742e-7,4.4162752925764784e-4,Down
ENSMUSG00000029553.11,Tfec,282,353,291,178,216,153.001,220.9262739075515,0.6764912534579842,0.2394899431575882,2.285687766952706e-7,4.4162752925764784e-4,Up
ENSMUSG00000042363.15,Lgalsl,992,1118,1365,2840,1990,2494,1772.8255689754692,-0.6656710073098734,0.23060309313003136,1.8287223243372573e-7,4.4162752925764784e-4,Down
ENSMUSG00000002763.17,Pex6,956,877,812,635,629,548,752.6481513930589,0.5001985149625333,0.14847184763683718,6.206247124813413e-7,9.377124980279244e-4,Up
ENSMUSG00000034165.17,Ccnd3,1914,2572.001,2086.998,1276,1622.001,1280,1601.3881382624943,0.5548951322978413,0.18817026417737628,6.239861354714469e-7,9.377124980279244e-4,Up
ENSMUSG00000067081.14,Asb18,76,85,93,363.999,235.001,174,193.28139257087213,-1.1051752123108287,0.39065253749505247,7.327876161040894e-7,9.91095250780781e-4,Down
ENSMUSG00000023272.5,Creld2,891,1967,1308,609,751,744,1025.0647529386474,0.8290904668818424,0.32788487893148816,8.451971791996943e-7,0.001039208349879624,Up
ENSMUSG00000045103.20,Dmd,406,522.999,516,1146.999,808.001,973,731.5162706502647,-0.5760072137648977,0.2131675747330854,1.0725513462922607e-6,0.0012088547465502354,Down
ENSMUSG00000006342.16,Susd2,281.999,346.999,281,187,184,170,200.09002689191436,0.6167369316821903,0.2450685373093212,1.3486260921690863e-6,0.0014030898381989917,Up
ENSMUSG00000037379.8,Spon2,364,520,181,1673.999,879,1067,697.2446566146184,-1.1780608775399963,0.45959789967215176,1.5976978197525435e-6,0.0015434902151537965,Down
